Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
1,UCS,N/A,2,17,0.0028 seconds
1,GBFS,h1,2,4,0.0004 seconds
1,GBFS,h2,2,4,0.0004 seconds
1,GBFS,h3,2,4,0.0004 seconds
1,A/A*,h1,2,7,0.0009 seconds
1,A/A*,h2,2,7,0.0008 seconds
1,A/A*,h3,2,4,0.0005 seconds
2,UCS,N/A,10,2012,3.5417 seconds
2,GBFS,h1,10,123,0.0572 seconds
2,GBFS,h2,10,123,0.0297 seconds
2,GBFS,h3,10,123,0.0295 seconds
2,A/A*,h1,10,591,0.3685 seconds
2,A/A*,h2,10,591,0.3527 seconds
2,A/A*,h3,10,247,0.0672 seconds
3,UCS,N/A,17,5219,10.5333 seconds
3,GBFS,h1,26,2887,4.1158 seconds
3,GBFS,h2,26,2887,4.1893 seconds
3,GBFS,h3,26,2887,4.2862 seconds
3,A/A*,h1,17,4854,9.4225 seconds
3,A/A*,h2,17,4854,9.4683 seconds
3,A/A*,h3,17,3476,5.4316 seconds
4,UCS,N/A,No Solution,156,0.0252 seconds
4,GBFS,h1,No Solution,156,0.0257 seconds
4,GBFS,h2,No Solution,156,0.5152 seconds
4,GBFS,h3,No Solution,156,0.0257 seconds
4,A/A*,h1,No Solution,156,0.0251 seconds
4,A/A*,h2,No Solution,156,0.0251 seconds
4,A/A*,h3,No Solution,156,0.0263 seconds
5,UCS,N/A,No Solution,353,0.1659 seconds
5,GBFS,h1,No Solution,353,0.0650 seconds
5,GBFS,h2,No Solution,353,0.0753 seconds
5,GBFS,h3,No Solution,353,0.0656 seconds
5,A/A*,h1,No Solution,353,0.0807 seconds
5,A/A*,h2,No Solution,353,0.0743 seconds
5,A/A*,h3,No Solution,353,0.0666 seconds
6,UCS,N/A,32,843,0.2620 seconds
6,GBFS,h1,36,558,0.1280 seconds
6,GBFS,h2,36,558,0.1437 seconds
6,GBFS,h3,36,558,0.1474 seconds
6,A/A*,h1,32,647,0.1688 seconds
6,A/A*,h2,32,647,0.1642 seconds
6,A/A*,h3,32,524,0.1400 seconds
